"ticker";"current_value";"date_updated"
"HTMX11";132.95;"2020-08-03 00:30:35.680"
"HYPE3";35.85;"2020-08-03 00:30:35.680"
"IBOVESPA";80898.7;"2020-08-03 00:30:35.680"
"IDNT3";9.9;"2020-08-03 00:30:35.680"
"IDVL3";1.55;"2020-08-03 00:30:35.680"
"IDVL4";1.2;"2020-08-03 00:30:35.680"
"IGBR3";1.13;"2020-08-03 00:30:35.680"
"IGTA3";39.01;"2020-08-03 00:30:35.680"
"INEP3";2.65;"2020-08-03 00:30:35.680"
"INEP4";2.75;"2020-08-03 00:30:35.680"
"IRBR3";37.7;"2020-08-03 00:30:35.680"
"ISUS11";0.0;"2020-08-03 00:30:35.680"
"ITLC34";143.59;"2020-08-03 00:30:35.680"
"ITSA3";12.62;"2020-08-03 00:30:35.680"
"ITSA4";12.68;"2020-08-03 00:30:35.680"
"ITUB3";43.53;"2020-08-03 00:30:35.680"
"ITUB4";50.48;"2020-08-03 00:30:35.680"
"IVVB11";89.3;"2020-08-03 00:30:35.680"
"JBDU3";0.95;"2020-08-03 00:30:35.680"
"JBDU4";0.99;"2020-08-03 00:30:35.680"
"JBSS3";9.65;"2020-08-03 00:30:35.680"
"JFEN3";0.6;"2020-08-03 00:30:35.680"
"JHSF3";1.87;"2020-08-03 00:30:35.680"
"JNJB34";420.9;"2020-08-03 00:30:35.680"
"JPMC34";180.92;"2020-08-03 00:30:35.680"
"JRDM11";82.0;"2020-08-03 00:30:35.680"
"JSLG3";7.57;"2020-08-03 00:30:35.680"
"JSRE11";106.1;"2020-08-03 00:30:35.680"
"KEPL3";14.5;"2020-08-03 00:30:35.680"
"KLBN11";17.22;"2020-08-03 00:30:35.680"
"KLBN3";4.7;"2020-08-03 00:30:35.680"
"KLBN4";3.13;"2020-08-03 00:30:35.680"
"KNCR11";105.4;"2020-08-03 00:30:35.680"
"KNIP11";107.4;"2020-08-03 00:30:35.680"
"KNRE11";10.85;"2020-08-03 00:30:35.680"
"KNRI11";161.0;"2020-08-03 00:30:35.680"
"KROT3";15.06;"2020-08-03 00:30:35.680"
"LAME3";11.96;"2020-08-03 00:30:35.680"
"LAME4";15.63;"2020-08-03 00:30:35.680"
"LCAM3";23.8;"2020-08-03 00:30:35.680"
"LEVE3";24.09;"2020-08-03 00:30:35.680"
"LIGT3";15.29;"2020-08-03 00:30:35.680"
"LINX3";18.8;"2020-08-03 00:30:35.680"
"LLIS3";31.69;"2020-08-03 00:30:35.680"
"LMTB34";1135.78;"2020-08-03 00:30:35.680"
"LOGN3";3.66;"2020-08-03 00:30:35.680"
"LPSB3";5.46;"2020-08-03 00:30:35.680"
"LREN3";33.17;"2020-08-03 00:30:35.680"
"LUPA3";3.17;"2020-08-03 00:30:35.680"
"MAGG3";54.45;"2020-08-03 00:30:35.680"
"MAPT4";3.28;"2020-08-03 00:30:35.680"
"MBRF11";1079.98;"2020-08-03 00:30:35.680"
"MCDC34";129.8;"2020-08-03 00:30:35.680"
"MDIA3";54.74;"2020-08-03 00:30:35.680"
"MEAL3";9.39;"2020-08-03 00:30:35.680"
"MEND5";3.51;"2020-08-03 00:30:35.680"
"MFII11";127.0;"2020-08-03 00:30:35.680"
"MGEL4";4.25;"2020-08-03 00:30:35.680"
"MGLU3";73.89;"2020-08-03 00:30:35.680"
"MILS3";4.0;"2020-08-03 00:30:35.680"
"MMMC34";182.4;"2020-08-03 00:30:35.680"
"MMXM11";0.79;"2020-08-03 00:30:35.680"
"MMXM3";2.88;"2020-08-03 00:30:35.680"
"MNPR3";2.46;"2020-08-03 00:30:35.680"
"MOVI3";7.7;"2020-08-03 00:30:35.680"
"MPLU3";33.5;"2020-08-03 00:30:35.680"
"MRFG3";6.42;"2020-08-03 00:30:35.680"
"MRVE3";14.92;"2020-08-03 00:30:35.680"
"MSFT34";281.5;"2020-08-03 00:30:35.680"
"MTIG4";26.25;"2020-08-03 00:30:35.680"
"MTSA4";17.45;"2020-08-03 00:30:35.680"
"MULT3";67.74;"2020-08-03 00:30:35.680"
"MWET4";3.26;"2020-08-03 00:30:35.680"
"MXRF11";9.47;"2020-08-03 00:30:35.680"
"MYPK3";22.56;"2020-08-03 00:30:35.680"
"NATU3";33.71;"2020-08-03 00:30:35.680"
"NFLX34";801.2;"2020-08-03 00:30:35.680"
"NSLU11";251.0;"2020-08-03 00:30:35.680"
"ODPV3";15.85;"2020-08-03 00:30:35.680"
"OFSA3";19.79;"2020-08-03 00:30:35.680"
"OGXP3";3.1;"2020-08-03 00:30:35.680"
"OIBR3";3.38;"2020-08-03 00:30:35.680"
"OIBR4";3.38;"2020-08-03 00:30:35.680"
"OMGE3";17.9;"2020-08-03 00:30:35.680"
"ONEF11";1169.0;"2020-08-03 00:30:35.680"
"ORCL34";154.0;"2020-08-03 00:30:35.680"
"OSXB3";7.49;"2020-08-03 00:30:35.680"
"PARD3";29.64;"2020-08-03 00:30:35.680"
"PCAR4";67.8;"2020-08-03 00:30:35.680"
"PDGR3";2.03;"2020-08-03 00:30:35.680"
"PETR3";20.09;"2020-08-03 00:30:35.680"
"PETR4";18.77;"2020-08-03 00:30:35.680"
"PFIZ34";111.83;"2020-08-03 00:30:35.680"
"PFRM3";7.07;"2020-08-03 00:30:35.680"
"PGCO34";268.3;"2020-08-03 00:30:35.680"
"PINE4";3.4;"2020-08-03 00:30:35.680"
"PLRI11";84.07;"2020-08-03 00:30:35.680"
"PMAM3";1.5;"2020-08-03 00:30:35.680"
"PMSP11B";1800.0;"2020-08-03 00:30:35.680"
"PNVL4";371.99;"2020-08-03 00:30:35.680"
"POMO3";3.0;"2020-08-03 00:30:35.680"
"POMO4";3.75;"2020-08-03 00:30:35.680"
"PORD11";100.25;"2020-08-03 00:30:35.680"
"POSI3";3.42;"2020-08-03 00:30:35.680"
"PQDP11";3245.0;"2020-08-03 00:30:35.680"
"PRIO3";77.68;"2020-08-03 00:30:35.680"
"PRML3";11.28;"2020-08-03 00:30:35.680"
"PRSV11";401.02;"2020-08-03 00:30:35.680"
"PSSA3";42.09;"2020-08-03 00:30:35.680"
"PTBL3";5.23;"2020-08-03 00:30:35.680"
"PTNT4";3.39;"2020-08-03 00:30:35.680"
"QGEP3";9.19;"2020-08-03 00:30:35.680"
"QUAL3";29.35;"2020-08-03 00:30:35.680"
"RADL3";79.85;"2020-08-03 00:30:35.680"
"RAIL3";12.86;"2020-08-03 00:30:35.680"
"RANI3";2.07;"2020-08-03 00:30:35.680"
"RANI4";2.0;"2020-08-03 00:30:35.680"
"RAPT3";5.97;"2020-08-03 00:30:35.680"
"RAPT4";7.85;"2020-08-03 00:30:35.680"
"RBBV11";64.39;"2020-08-03 00:30:35.680"
"RBCB11";540.0;"2020-08-03 00:30:35.680"
"RBGS11";46.0;"2020-08-03 00:30:35.680"
"RBRD11";81.7;"2020-08-03 00:30:35.680"
"RBVO11";61.89;"2020-08-03 00:30:35.680"
"RCSL3";7.68;"2020-08-03 00:30:35.680"
"RCSL4";1.7;"2020-08-03 00:30:35.680"
"RDES11";71.5;"2020-08-03 00:30:35.680"
"RDNI3";5.99;"2020-08-03 00:30:35.680"
"REDE3";3.8;"2020-08-03 00:30:35.680"
"RENT3";23.89;"2020-08-03 00:30:35.680"
"RLOG3";9.44;"2020-08-03 00:30:35.680"
"RNDP11";924.0;"2020-08-03 00:30:35.680"
"RNEW11";5.88;"2020-08-03 00:30:35.680"
"RNEW3";2.36;"2020-08-03 00:30:35.680"
"RNEW4";1.8;"2020-08-03 00:30:35.680"
"RNGO11";93.33;"2020-08-03 00:30:35.680"
"ROMI3";8.24;"2020-08-03 00:30:35.680"
"RPAD6";3.5;"2020-08-03 00:30:35.680"
"RPMG3";7.0;"2020-08-03 00:30:35.680"
"RSID3";6.72;"2020-08-03 00:30:35.680"
"SAAG11";128.49;"2020-08-03 00:30:35.680"
"SANB11";34.78;"2020-08-03 00:30:35.680"
"SANB3";19.5;"2020-08-03 00:30:35.680"
"SANB4";15.0;"2020-08-03 00:30:35.680"
"SAPR11";55.9;"2020-08-03 00:30:35.680"
"SAPR3";14.61;"2020-08-03 00:30:35.680"
"SAPR4";10.23;"2020-08-03 00:30:35.680"
"SBSP3";33.34;"2020-08-03 00:30:35.680"
"SBUB34";178.5;"2020-08-03 00:30:35.680"
"SCAR3";38.85;"2020-08-03 00:30:35.680"
"SCPF11";14.6;"2020-08-03 00:30:35.680"
"SDIL11";96.98;"2020-08-03 00:30:35.680"
"SEDU3";14.0;"2020-08-03 00:30:35.680"
"SEER3";30.3;"2020-08-03 00:30:35.680"
"SGPS3";11.47;"2020-08-03 00:30:35.680"
"SHOW3";8.3;"2020-08-03 00:30:35.680"
"SHPH11";990.0;"2020-08-03 00:30:35.680"
"SHUL4";7.7;"2020-08-03 00:30:35.680"
"SLCE3";32.11;"2020-08-03 00:30:35.680"
"SLED3";4.5;"2020-08-03 00:30:35.680"
"SLED4";4.6;"2020-08-03 00:30:35.680"
"SMAL11";80.56;"2020-08-03 00:30:35.680"
"SMLS3";78.35;"2020-08-03 00:30:35.680"
"SMTO3";18.5;"2020-08-03 00:30:35.680"
"SNSL3";26.35;"2020-08-03 00:30:35.680"
"SPTW11";75.2;"2020-08-03 00:30:35.680"
"SSBR3";23.77;"2020-08-03 00:30:35.680"
"STBP3";3.56;"2020-08-03 00:30:35.680"
"SULA11";20.0;"2020-08-03 00:30:35.680"
"SUZB3";19.92;"2020-08-03 00:30:35.680"
"TAEE11";19.65;"2020-08-03 00:30:35.680"
"TAEE4";6.76;"2020-08-03 00:30:35.680"
"TBOF11";82.5;"2020-08-03 00:30:35.680"
"TCNO3";2.26;"2020-08-03 00:30:35.680"
"TCNO4";2.25;"2020-08-03 00:30:35.680"
"TCSA3";1.98;"2020-08-03 00:30:35.680"
"TECN3";3.62;"2020-08-03 00:30:35.680"
"TEKA4";6.7;"2020-08-03 00:30:35.680"
"TELB3";40.0;"2020-08-03 00:30:35.680"
"TELB4";22.76;"2020-08-03 00:30:35.680"
"TEND3";21.59;"2020-08-03 00:30:35.680"
"TGMA3";21.5;"2020-08-03 00:30:35.680"
"THRA11";113.0;"2020-08-03 00:30:35.680"
"TIET11";11.69;"2020-08-03 00:30:35.680"
"TIET3";2.32;"2020-08-03 00:30:35.680"
"TIET4";2.36;"2020-08-03 00:30:35.680"
"TIMP3";13.53;"2020-08-03 00:30:35.680"
"TOTS3";29.84;"2020-08-03 00:30:35.680"
"TOYB3";2.09;"2020-08-03 00:30:35.680"
"TOYB4";2.15;"2020-08-03 00:30:35.680"
"TPIS3";3.73;"2020-08-03 00:30:35.680"
"TRIS3";5.28;"2020-08-03 00:30:35.680"
"TRPL3";58.1;"2020-08-03 00:30:35.680"
"TRPL4";64.74;"2020-08-03 00:30:35.680"
"TRPN3";3.07;"2020-08-03 00:30:35.680"
"TRXL11";78.75;"2020-08-03 00:30:35.680"
"TUPY3";17.3;"2020-08-03 00:30:35.680"
"TWXB34";308.75;"2020-08-03 00:30:35.680"
"UCAS3";2.24;"2020-08-03 00:30:35.680"
"UGPA3";77.29;"2020-08-03 00:30:35.680"
"UNIP3";22.8;"2020-08-03 00:30:35.680"
"UNIP5";22.7;"2020-08-03 00:30:35.680"
"UNIP6";22.6;"2020-08-03 00:30:35.680"
"USIM3";12.95;"2020-08-03 00:30:35.680"
"USIM5";11.23;"2020-08-03 00:30:35.680"
"VALE3";42.0;"2020-08-03 00:30:35.680"
"VISA34";371.5;"2020-08-03 00:30:35.680"
"VIVR3";1.91;"2020-08-03 00:30:35.680"
"VIVT3";45.11;"2020-08-03 00:30:35.680"
"VIVT4";51.54;"2020-08-03 00:30:35.680"
"VLID3";19.6;"2020-08-03 00:30:35.680"
"VLOL11";88.47;"2020-08-03 00:30:35.680"
"VRTA11";108.3;"2020-08-03 00:30:35.680"
"VULC3";10.04;"2020-08-03 00:30:35.680"
"VVAR11";24.36;"2020-08-03 00:30:35.680"
"VVAR3";7.36;"2020-08-03 00:30:35.680"
"VVAR4";9.4;"2020-08-03 00:30:35.680"
"WALM34";81.98;"2020-08-03 00:30:35.680"
"WEGE3";21.92;"2020-08-03 00:30:35.680"
"WFCO34";183.9;"2020-08-03 00:30:35.680"
"WHRL3";4.99;"2020-08-03 00:30:35.680"
"WHRL4";5.3;"2020-08-03 00:30:35.680"
"WIZS3";13.28;"2020-08-03 00:30:35.680"
"WLMM4";5.65;"2020-08-03 00:30:35.680"
"WPLZ11B";71.0;"2020-08-03 00:30:35.680"
"WSON33";38.21;"2020-08-03 00:30:35.680"
"XPCM11";97.5;"2020-08-03 00:30:35.680"
"XPOM11";97.5;"2020-08-03 00:30:35.680"
"XTED11";26.0;"2020-08-03 00:30:35.680"
